LK,LKNR,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,08.11.2021,09.11.2021,10.11.2021,11.11.2021,12.11.2021,13.11.2021,14.11.2021,15.11.2021,16.11.2021,17.11.2021,18.11.2021,19.11.2021,20.11.2021,21.11.2021,22.11.2021,23.11.2021,24.11.2021,25.11.2021,26.11.2021,27.11.2021,28.11.2021,29.11.2021,30.11.2021,01.12.2021,02.12.2021,03.12.2021,04.12.2021,05.12.2021,06.12.2021,07.12.2021,08.12.2021,09.12.2021,10.12.2021,11.12.2021,12.12.2021,13.12.2021,14.12.2021,15.12.2021,16.12.2021,17.12.2021,18.12.2021,19.12.2021,20.12.2021,21.12.2021,22.12.2021,23.12.2021,24.12.2021,25.12.2021,26.12.2021,27.12.2021,28.12.2021,29.12.2021,30.12.2021,31.12.2021,01.01.2022,02.01.2022,03.01.2022,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022,11.01.2022,12.01.2022,13.01.2022,14.01.2022,15.01.2022,16.01.2022,17.01.2022,18.01.2022,19.01.2022,20.01.2022,21.01.2022,22.01.2022,23.01.2022,24.01.2022,25.01.2022,26.01.2022,27.01.2022,28.01.2022,29.01.2022,30.01.2022,31.01.2022,01.02.2022,02.02.2022,03.02.2022,04.02.2022,05.02.2022,06.02.2022,07.02.2022,08.02.2022,09.02.2022,10.02.2022,11.02.2022,12.02.2022,13.02.2022,14.02.2022,15.02.2022,16.02.2022,17.02.2022,18.02.2022,19.02.2022,20.02.2022,21.02.2022,22.02.2022,23.02.2022,24.02.2022,25.02.2022,26.02.2022,27.02.2022,28.02.2022,01.03.2022,02.03.2022,03.03.2022,04.03.2022,05.03.2022,06.03.2022,07.03.2022,08.03.2022,09.03.2022,10.03.2022,11.03.2022,12.03.2022,13.03.2022,14.03.2022,15.03.2022,16.03.2022,17.03.2022,18.03.2022,19.03.2022,20.03.2022,21.03.2022,22.03.2022,23.03.2022,24.03.2022,25.03.2022,26.03.2022,27.03.2022,28.03.2022
LK Olpe,5966,57.7,76.5,76.5,66.7,63.0,65.2,60.7,57.0,45.7,45.7,42.0,43.5,42.7,39.0,48.0,54.0,54.0,54.0,51.7,55.5,60.0,57.0,52.5,52.5,56.2,55.5,51.7,53.2,48.0,39.0,39.0,43.5,46.5,41.2,33.7,31.5,37.5,37.5,32.2,28.5,42.7,64.5,87.0,96.7,110.2,108.7,134.2,141.7,143.2,132.0,114.0,102.7,125.2,99.7,114.0,105.7,104.2,120.0,120.0,104.2,114.7,102.7,100.5,102.0,114.7,114.7,116.2,139.5,148.5,152.2,164.2,135.7,135.7,179.2,182.2,191.2,202.5,204.7,232.5,232.5,203.2,213.0,203.2,206.2,216.0,214.5,214.5,207.0,183.7,194.2,195.7,189.0,162.7,162.7,183.7,180.7,159.7,152.2,138.0,150.7,150.7,124.5,117.7,115.5,94.5,90.7,78.0,81.0,72.0,79.5,74.2,84.0,90.0,90.0,87.0,92.2,101.2,156.7,206.2,218.2,220.5,220.5,284.2,299.9,313.4,314.9,347.2,392.9,392.9,411.7,437.2,443.9,483.6,555.6,617.1,617.1,707.1,824.8,844.3,982.3,1327.2,1217.7,1217.7,1688.6,2128.0,2297.5,2482.7,2209.0,2364.2,2364.2,2079.3,1609.2,1715.6,1447.9,1515.4,1506.4,1506.4,1346.7,1411.2,1323.5,1405.9,1266.5,1314.5,1314.5,1253.7,1294.2,1274.7,1249.2,1279.2,1155.5,1155.5,1149.5,1119.5,1063.3,1109.8,1178.0,1263.5,1263.5,1346.7,1388.0,1538.7,1548.4,1576.9,1622.7,1622.7,1603.2,1601.7,1633.9,1681.1,1612.2,1412.7,1412.7,1586.7,1593.4,1565.7,1452.4,1467.4,1488.4,1488.4
LK Ortenaukreis,8317,84.1,74.9,85.1,78.1,75.1,78.6,83.0,79.3,91.8,93.4,86.2,79.5,91.3,89.7,88.5,86.0,89.0,74.4,72.4,75.4,75.4,78.1,78.4,83.2,72.4,71.0,77.0,86.5,84.1,91.8,96.4,83.5,80.2,81.8,79.8,84.6,84.4,90.6,82.8,83.2,65.4,113.5,107.7,116.3,124.6,117.0,124.4,150.7,164.1,174.3,190.7,200.9,191.6,148.4,146.8,179.4,186.6,205.5,241.6,242.3,283.6,291.0,310.7,353.9,359.2,411.7,385.6,385.6,382.6,415.4,454.5,445.7,479.9,550.0,564.3,633.6,583.9,598.5,592.7,600.4,598.7,584.6,574.5,565.7,560.6,534.5,540.2,532.4,511.8,495.2,495.2,492.6,480.6,490.1,446.6,408.5,419.8,410.1,393.7,394.6,389.5,374.7,335.2,317.4,287.8,271.2,227.2,233.3,210.8,224.2,239.0,247.1,268.9,283.6,280.9,253.1,252.0,287.6,267.9,280.2,329.7,363.9,314.4,342.4,284.6,498.9,574.9,549.5,579.8,591.6,568.2,607.5,656.1,779.3,913.8,1019.7,1094.8,906.0,1152.4,1093.4,1167.9,1082.8,1081.2,1120.0,1206.5,1392.1,1420.5,1513.0,1601.6,1883.1,1861.6,1705.1,1606.4,1525.7,1556.7,1354.2,1421.0,1690.1,1773.1,1939.3,1974.0,1859.8,1606.6,1656.1,1640.6,1543.5,1382.2,1339.2,1373.6,1359.7,1379.6,1337.3,1234.2,1251.8,1255.0,1346.3,1388.6,1483.9,1612.4,1544.0,1587.9,1299.6,1672.3,1412.9,1334.8,1879.9,1820.9,1795.3,1794.8,1750.7,1747.4,1889.8,2138.6,2135.6,2256.9,2310.1,2185.5,1981.4,1930.3
LK Osnabrueck,3459,59.5,59.3,60.9,60.9,52.6,44.2,42.6,47.8,45.9,42.8,41.2,39.5,40.6,36.4,34.5,35.1,33.7,32.5,29.2,28.1,25.6,29.5,24.2,28.4,29.8,28.4,31.4,34.8,36.4,37.8,37.8,37.3,39.8,45.3,49.5,51.7,52.6,56.8,61.2,50.9,60.9,63.7,59.3,67.9,74.0,87.9,91.2,95.7,108.5,109.0,118.2,114.3,107.1,98.2,105.7,98.8,107.1,126.9,144.7,141.9,135.5,124.6,120.5,117.1,114.1,125.2,135.2,115.4,118.5,116.6,102.9,102.4,146.9,164.1,153.8,159.1,161.6,169.7,200.9,204.7,212.3,201.7,188.3,180.8,173.9,231.7,271.0,283.2,256.5,246.5,256.5,265.7,231.2,193.6,248.1,213.9,189.7,190.6,175.3,181.4,193.3,193.1,174.4,146.0,164.4,137.1,111.0,148.3,147.2,131.0,138.5,154.9,129.1,118.0,171.9,171.6,180.5,202.0,216.2,225.3,238.7,259.3,269.0,234.0,281.8,327.4,347.2,375.3,395.6,425.3,389.2,398.4,409.5,475.1,509.1,573.9,677.1,723.0,704.9,692.4,711.3,787.0,796.7,905.2,964.5,1108.0,1126.7,1202.6,1111.9,1157.3,1347.8,1337.2,1389.3,1507.2,1467.4,1406.0,1361.7,1341.1,1163.4,1072.4,1114.4,1131.7,1068.5,1096.6,1181.7,947.5,921.9,1227.6,1234.6,1167.5,1246.0,1250.4,1212.6,1177.3,1192.0,1166.4,1084.4,1200.4,1323.9,1348.9,1406.0,1495.5,1486.1,1527.2,1537.0,1718.4,1719.5,1767.6,1775.4,1841.3,1740.3,1536.1,1893.9,2011.6,2246.4,2162.6,2172.1,2044.9,1719.2
LK Ostalbkreis,8136,61.1,54.1,63.6,60.5,61.1,65.9,66.8,73.5,76.7,76.7,76.0,72.2,66.2,67.1,70.3,79.2,79.2,72.2,78.6,81.8,81.8,78.9,69.0,69.0,68.4,64.9,65.2,61.4,57.3,62.0,62.0,53.5,62.4,72.9,80.5,90.0,97.4,97.4,98.3,115.5,94.5,133.0,137.8,143.5,143.5,153.0,145.7,161.6,182.0,195.0,208.1,208.1,218.9,214.1,211.6,203.6,228.4,243.1,242.8,255.5,255.2,256.4,291.1,295.3,329.9,340.4,363.4,423.8,550.8,630.3,700.9,702.2,712.7,686.0,654.5,599.1,658.9,668.2,665.9,666.6,650.0,649.1,641.4,512.6,597.2,589.9,579.1,528.2,521.2,463.3,431.1,419.4,405.0,396.1,377.0,374.2,343.3,329.3,301.3,308.3,300.0,285.1,272.7,246.9,257.4,230.7,196.6,204.9,199.2,180.1,184.9,167.7,172.8,172.8,165.5,155.9,169.3,195.0,167.4,198.9,240.2,237.0,232.3,268.5,211.6,380.9,399.0,412.4,420.3,398.7,442.6,510.7,540.9,614.7,675.2,697.1,714.3,719.7,797.0,919.5,1018.5,1040.7,1109.2,1135.6,1065.9,988.2,1087.2,1250.7,1316.6,1381.2,1692.4,1910.9,2089.8,2202.4,2209.1,2219.6,2188.1,1976.2,1915.4,1876.9,1949.8,1930.7,2055.7,2059.9,1824.1,1681.9,1596.6,1432.4,1505.3,1494.8,1459.8,1641.5,1775.4,1872.1,1961.9,1969.5,2009.3,2044.9,2098.4,2081.8,2124.1,2196.7,2293.4,2370.7,2435.3,2301.7,2206.5,2216.7,2103.8,2098.4,2134.0,2071.3,2006.4,1862.3,1968.2,2198.6,2094.9,1883.9,1758.2
LK Ostallgaeu,9777,98.0,91.6,89.5,88.8,93.7,90.9,90.9,86.7,93.7,95.1,96.5,100.1,99.4,105.7,108.5,106.4,107.1,106.4,102.2,104.3,89.5,90.9,101.5,101.5,100.8,106.4,103.6,107.8,107.1,110.6,109.9,109.9,114.9,124.0,129.0,127.5,121.9,115.6,123.3,128.3,150.8,184.6,221.3,199.4,261.4,273.4,322.7,360.8,391.1,405.2,426.3,414.4,410.8,338.2,350.2,370.7,417.9,436.2,466.5,477.1,593.3,640.6,734.3,729.4,763.2,883.0,878.0,837.2,837.2,813.2,904.1,923.1,862.5,878.7,973.2,1054.9,1019.7,993.6,977.4,952.7,947.1,946.4,885.8,889.3,825.2,774.5,756.8,740.6,695.5,687.8,638.4,590.5,537.0,550.4,556.0,535.6,454.5,393.2,392.5,360.8,357.3,345.3,292.4,270.6,276.9,257.9,213.5,207.2,215.6,236.8,248.0,281.2,280.5,310.1,330.5,343.9,351.6,367.8,317.8,389.7,362.2,492.6,463.7,540.5,613.1,697.6,734.3,752.6,719.5,716.7,734.3,748.4,708.2,713.8,736.4,756.1,781.5,685.0,1001.4,1247.3,1252.2,1214.2,1385.4,1459.4,1527.1,1558.1,1623.6,1806.1,1930.1,1890.0,1919.6,1900.5,1813.2,1859.7,1851.2,1753.3,1800.5,1938.6,1944.9,2042.2,2074.6,2059.8,2043.6,1911.8,1794.1,1830.1,1851.9,1597.5,1572.9,1655.3,1687.0,1622.2,1621.5,1603.9,1750.4,1710.3,1651.1,1692.0,1696.2,1795.5,1913.9,2039.4,2041.5,2069.0,2084.5,2200.0,2216.2,2076.7,2274.0,2350.1,2325.5,2300.1,2246.5,2351.5,2418.5,2295.9,2216.9,2261.3,2162.7
LK Osterholz,3356,31.4,36.6,34.9,34.0,27.9,28.8,30.5,26.2,29.7,29.7,23.6,15.7,18.3,25.3,26.2,28.8,30.5,27.9,33.1,29.7,26.2,29.7,33.1,33.1,32.3,27.0,31.4,27.9,20.9,23.6,23.6,20.1,20.1,14.0,20.1,23.6,29.7,29.7,25.3,25.3,19.2,22.7,21.8,26.2,28.8,31.4,41.0,55.0,55.8,53.2,66.3,69.8,56.7,51.5,61.1,73.3,85.5,80.3,82.9,78.5,74.1,73.3,80.3,80.3,89.0,95.1,84.6,106.4,116.0,123.0,122.1,130.0,143.1,125.6,106.4,102.1,102.9,116.9,121.2,123.0,116.9,123.0,144.8,146.5,139.6,145.7,171.8,153.5,141.3,150.9,145.7,139.6,110.8,108.2,129.1,141.3,161.4,165.7,157.9,185.8,191.9,167.5,166.6,181.4,191.9,164.9,143.1,177.1,178.8,198.0,298.3,367.2,341.9,333.2,470.2,458.8,522.5,528.6,408.2,598.4,689.1,732.7,717.0,664.7,628.1,710.9,649.9,684.8,716.2,758.0,751.0,729.2,774.6,797.3,833.9,861.0,878.4,798.2,815.6,839.1,839.1,895.0,936.8,934.2,867.1,819.1,837.4,851.4,840.9,888.9,916.8,936.8,943.0,896.7,836.5,848.7,825.2,750.2,751.9,728.4,688.2,694.3,672.5,686.5,647.2,676.0,670.8,686.5,668.2,730.1,739.7,681.3,653.3,678.6,724.9,718.8,825.2,823.4,806.9,838.3,971.7,1068.6,1032.8,1005.8,1132.2,1232.6,1251.7,1365.1,1416.6,1330.3,1489.9,1543.1,1548.3,1548.3,1549.2,1770.8,1669.6,1693.1,1777.7
LK Ostholstein,1055,32.8,31.3,30.8,30.3,27.8,27.8,24.3,21.3,18.9,18.4,17.4,18.9,15.4,17.4,12.9,14.4,13.9,14.4,13.9,12.4,11.4,14.9,13.4,12.9,12.9,12.4,15.4,16.4,17.9,19.4,20.3,21.3,17.9,16.9,14.9,15.4,19.4,18.9,17.9,24.3,22.8,30.3,30.8,30.8,31.3,34.7,42.7,47.6,44.7,42.2,38.2,44.2,42.2,36.7,42.2,47.6,54.6,47.6,46.7,57.1,61.0,62.0,68.0,70.0,70.0,68.0,76.9,80.4,85.4,88.3,91.3,91.3,86.9,105.2,126.6,146.9,150.9,159.8,159.8,159.8,158.3,152.4,144.4,139.0,139.0,132.5,132.5,143.4,146.9,146.9,154.8,148.9,148.9,148.9,137.5,138.0,147.4,148.4,141.9,141.9,141.9,150.4,142.9,125.6,117.1,103.7,103.7,103.7,106.2,115.1,133.5,133.5,133.5,133.5,133.5,202.0,228.3,291.8,441.2,596.6,596.6,596.6,575.2,629.8,595.1,549.9,507.7,506.7,506.2,538.0,550.9,618.9,677.0,720.1,816.4,883.9,902.8,928.1,912.2,862.1,782.7,754.9,702.3,698.3,671.5,628.8,588.1,683.4,617.4,586.6,585.1,652.2,686.9,668.0,634.3,633.8,633.8,650.7,617.9,583.2,532.5,580.2,580.2,579.2,590.1,637.3,655.1,783.7,768.3,768.8,768.8,809.5,769.3,850.7,787.6,809.5,809.5,809.5,790.1,817.4,835.3,929.1,998.1,998.1,998.1,1085.4,1166.8,1218.4,1240.8,1248.7,1248.7,1248.7,1262.1,1286.4,1248.2,1298.3,1334.1,1334.1,1334.1
LK Ostprignitz-Ruppin,12068,29.3,22.3,20.2,27.3,22.3,20.2,18.2,15.2,14.2,14.2,12.1,18.2,23.3,26.3,27.3,29.3,29.3,29.3,27.3,29.3,25.3,24.3,30.4,30.4,26.3,34.4,39.5,36.4,43.5,44.5,44.5,44.5,39.5,39.5,47.6,47.6,47.6,46.6,46.6,68.8,68.8,63.8,64.8,63.8,63.8,63.8,65.8,82.0,89.1,97.2,112.3,115.4,114.4,125.5,156.9,170.0,219.6,230.8,255.0,258.1,263.1,313.7,362.3,351.2,379.5,374.5,388.6,382.6,408.9,413.9,443.3,462.5,458.5,504.0,525.3,509.1,519.2,522.2,541.5,560.7,525.3,525.3,517.2,507.0,492.9,477.7,479.7,453.4,461.5,466.6,492.9,492.9,474.7,489.8,492.9,483.8,526.3,516.2,517.2,534.4,554.6,562.7,529.3,540.4,490.9,439.2,382.6,364.3,337.0,300.6,249.0,236.8,252.0,230.8,229.7,225.7,237.8,292.5,316.8,306.7,333.0,333.0,340.1,338.0,333.0,362.3,394.7,419.0,441.3,461.5,493.9,525.3,581.9,674.0,702.4,745.9,809.7,868.4,968.5,1085.9,1236.7,1333.9,1437.1,1420.9,1413.9,1475.6,1517.1,1503.9,1438.1,1420.9,1605.1,1751.9,1900.7,2074.7,2156.7,2421.9,2352.0,2159.7,2054.5,1916.8,1894.6,1866.2,1729.6,1729.6,1774.1,1763.0,1733.7,1641.6,1653.7,1724.6,1723.5,1814.6,1708.4,1696.2,1827.8,1726.6,1815.6,1815.6,1722.5,1792.4,1791.4,1650.7,1574.8,1471.5,1471.5,1659.8,1681.0,1755.9,1918.9,1880.4,1912.8,1912.8,1665.9,1608.2,1761.0,1997.8,2203.3,2024.1,2024.1
LK Paderborn,5774,100.2,94.1,94.1,86.3,90.2,83.7,75.2,73.3,60.3,60.3,60.0,49.3,47.4,51.6,46.7,47.0,47.0,49.0,41.2,41.8,40.5,38.3,36.3,36.3,34.7,33.1,31.8,32.1,33.7,33.4,33.4,33.4,31.8,29.8,32.8,32.8,34.7,34.7,34.7,36.3,36.6,35.4,36.0,37.3,37.3,44.4,53.5,69.1,80.8,82.4,73.3,73.3,81.4,78.2,74.6,77.5,94.4,96.0,96.0,113.2,137.2,160.5,165.7,184.9,204.6,204.6,215.7,225.4,223.8,253.0,259.5,241.9,241.6,277.6,275.3,205.3,216.0,295.5,278.3,277.9,297.7,336.3,319.5,334.7,327.9,329.8,329.8,308.1,321.1,330.5,322.1,301.9,303.2,298.7,297.7,288.0,220.5,271.8,271.1,267.6,267.6,278.3,277.0,255.6,227.4,199.8,173.5,167.0,168.6,172.2,184.5,191.4,206.6,206.6,206.6,210.5,199.5,187.1,193.0,208.9,245.2,245.2,258.8,290.9,299.0,305.8,293.2,275.3,275.3,306.2,330.2,342.5,379.1,361.6,351.6,351.6,345.7,262.7,265.6,337.9,548.4,727.8,727.8,609.7,991.1,1007.3,1072.9,1002.2,939.6,939.6,964.2,733.9,1132.9,1194.5,1298.6,1361.5,1361.8,1422.5,1490.3,1515.9,1506.2,1521.4,1472.4,1472.4,1465.0,1371.2,1291.8,1276.9,1204.9,1198.4,1198.4,1213.0,1195.8,1144.2,1104.6,1058.6,993.4,993.7,951.2,1005.7,1059.2,1125.4,1182.2,1253.8,1253.8,1215.9,1155.9,1039.5,1079.0,1087.8,927.2,927.2,946.4,1007.7,1165.0,1183.5,1303.5,1318.4,1318.4
LK Passau,9275,50.1,52.7,52.7,48.6,52.7,53.2,57.9,60.5,63.1,61.5,61.0,64.6,58.9,63.1,53.8,55.8,54.3,56.3,57.4,62.0,57.4,66.7,71.3,72.9,66.7,86.3,85.8,96.7,89.9,96.7,97.2,101.8,109.1,110.6,117.9,124.6,136.5,143.7,136.5,155.6,166.4,185.6,204.7,231.1,234.7,230.5,282.8,303.4,335.0,360.8,327.2,407.8,412.0,353.1,420.8,501.4,532.4,567.6,682.8,706.6,776.4,865.3,942.3,913.9,798.1,995.1,998.2,859.6,1007.0,1007.0,1155.8,1317.1,971.8,1135.7,902.5,1035.4,1063.8,1041.6,1095.4,1110.3,1080.9,998.7,917.5,909.8,852.9,793.5,843.1,845.7,737.6,815.7,788.3,797.6,752.1,748.0,689.1,529.8,552.1,470.4,415.1,392.9,399.6,387.2,309.6,276.0,274.0,230.0,200.0,198.0,192.8,146.3,138.5,131.3,132.3,125.1,145.3,138.0,141.1,156.1,167.5,158.2,168.5,186.6,174.2,183.0,201.1,211.4,257.4,276.6,275.5,272.4,299.3,333.4,368.6,389.2,418.2,453.9,419.7,514.9,556.7,605.8,690.1,781.1,789.3,752.1,818.3,893.2,893.8,1003.3,1057.6,1189.9,1141.9,940.8,860.7,932.5,1186.3,1356.9,1433.4,1433.9,1443.2,1652.1,1756.5,1789.6,1834.5,1948.3,1823.7,1960.2,2164.9,2170.5,2233.1,2346.8,2326.1,2329.2,2047.5,1941.0,1818.0,1871.2,1734.3,1883.1,1790.6,1704.3,2200.5,2497.2,2499.8,2604.2,2739.2,2568.1,2135.4,2769.1,3086.0,3077.2,3201.8,3312.9,3195.6,2741.2,2625.9,2814.6,2805.3,2733.5,2784.1
LK Peine,3157,131.0,117.8,121.5,124.4,120.0,95.0,91.3,86.9,84.7,82.4,75.8,61.1,51.5,59.6,51.5,50.1,50.8,42.0,44.2,33.9,32.4,27.2,24.3,23.6,22.8,17.7,19.1,23.6,24.3,33.9,33.9,28.0,49.3,57.4,64.0,83.2,81.7,83.2,86.1,86.1,78.0,84.7,65.5,70.7,67.7,59.6,58.9,64.0,56.7,60.4,69.2,69.2,72.1,72.1,95.7,105.3,105.3,124.4,126.6,120.7,122.9,111.2,120.0,123.7,117.0,117.8,122.9,128.8,156.8,153.1,159.0,168.6,184.0,183.3,201.7,212.7,217.9,221.6,222.3,220.1,220.1,212.7,209.1,192.9,203.2,206.9,203.9,194.3,180.4,175.2,181.8,170.0,131.8,131.8,150.2,149.4,138.4,139.9,134.7,141.3,140.6,136.9,136.2,136.9,125.9,108.2,82.4,104.5,120.0,112.6,136.2,150.9,131.0,131.0,155.3,156.8,166.4,175.2,197.3,203.9,254.7,254.7,234.8,310.7,343.8,354.8,374.7,389.4,379.8,402.7,362.9,394.6,437.3,511.6,566.1,565.4,602.9,708.9,803.1,896.6,985.0,1051.2,1038.7,1061.5,1009.2,1097.6,1149.1,1224.9,1300.8,1344.9,1381.0,1408.2,1497.3,1436.9,1266.2,1459.0,1413.4,1367.7,1283.8,1268.4,1170.5,1178.6,1183.7,1150.6,1148.4,1185.9,1183.0,1191.8,1186.7,1235.2,1217.6,1224.2,1218.3,1255.9,1290.5,1370.7,1443.6,1386.9,1361.1,1556.9,1649.7,1816.1,1810.2,1634.2,1573.9,1763.8,1938.3,2005.2,2070.8,2094.3,1900.7,1822.7,1927.9,2128.2,2153.9,2260.7,2177.5,1992.7,1833.0
LK Pfaffenhofen a.d.Ilm,9186,96.0,96.0,91.4,92.9,89.1,86.7,75.9,78.2,83.6,84.4,82.1,85.2,83.6,91.4,76.7,82.1,89.8,89.1,89.1,86.0,77.4,78.2,73.6,66.6,62.7,48.0,52.7,59.6,62.0,58.1,60.4,63.5,74.3,65.1,62.0,63.5,67.4,71.2,75.9,98.4,111.5,130.9,147.1,171.9,175.8,171.9,199.0,236.2,250.1,256.3,250.9,262.5,271.8,212.2,254.0,268.0,293.5,257.9,332.2,354.7,443.0,443.7,491.8,493.3,508.0,517.3,525.8,542.9,563.8,557.6,597.9,628.8,627.3,624.2,623.4,621.9,631.9,621.9,621.1,632.7,621.1,632.7,615.7,599.4,569.2,525.1,508.8,498.7,477.8,449.2,411.2,395.7,381.8,365.5,362.4,338.4,310.5,315.2,294.3,279.6,273.4,258.7,233.1,206.8,178.9,180.4,158.8,164.2,156.4,145.6,168.1,168.1,166.5,171.9,167.3,195.2,205.2,226.9,228.5,248.6,301.3,311.3,301.3,375.6,405.0,454.6,497.2,515.8,580.8,619.5,690.8,793.0,918.5,1009.1,1109.8,1122.1,1183.3,1339.8,1400.9,1486.1,1566.7,1514.0,1727.7,1740.9,1686.7,1709.2,1793.6,1882.6,2029.8,1909.0,1918.3,1888.0,1886.5,2005.8,2028.2,2010.4,1977.9,1949.2,2002.7,1922.9,1891.1,1905.9,2006.5,2007.3,2070.8,2112.6,2197.8,2184.7,2090.2,1768.8,2170.7,2189.3,2089.4,1979.4,1972.5,1956.2,1883.4,1941.5,2034.4,2056.9,2055.3,2136.6,2316.3,2557.2,2594.3,2509.1,2509.9,2598.2,2653.2,2686.5,2477.4,2358.1,2410.0,2605.2,2663.2,2581.9,2564.1,2584.3,2550.2
LK Pinneberg,1056,55.5,52.7,49.5,49.5,53.6,56.1,58.0,62.8,62.4,60.6,54.6,55.2,53.0,53.0,49.8,42.6,45.4,43.5,38.5,42.3,43.2,44.5,47.0,49.5,50.1,52.7,44.2,38.8,39.4,38.5,38.5,36.9,28.1,34.7,36.9,32.2,34.7,36.0,36.6,32.2,59.9,66.5,69.7,77.9,81.1,81.4,84.2,79.2,83.9,86.7,84.5,87.7,85.5,86.1,70.6,83.3,84.8,88.6,89.3,87.4,88.0,87.7,92.7,88.3,98.7,96.2,100.3,107.9,125.2,145.4,173.5,179.1,191.1,198.4,205.0,219.2,210.4,194.9,199.0,195.2,195.5,194.6,191.7,188.9,195.5,182.6,192.1,175.0,166.5,155.2,154.5,155.5,171.9,166.5,159.6,167.5,173.5,180.1,182.0,190.2,197.1,183.2,195.2,201.8,208.1,175.7,150.4,178.8,178.8,174.4,172.2,184.5,198.4,194.6,193.6,264.3,315.1,379.7,390.7,398.0,425.4,425.8,508.4,519.4,541.8,580.3,553.8,499.2,475.9,551.0,680.9,907.6,1125.6,1174.4,1037.6,1018.7,1086.8,1112.3,1187.7,1235.6,1204.1,1120.2,1009.5,1092.8,1083.3,1056.2,1007.0,940.8,861.9,806.4,833.2,808.3,821.5,798.2,734.2,656.9,652.8,632.6,647.1,634.5,592.9,570.8,537.1,536.8,499.9,538.0,562.3,573.0,589.7,561.4,556.9,577.1,574.6,559.5,611.5,584.4,555.7,545.6,587.5,600.2,717.5,828.8,873.9,841.7,825.0,973.9,1037.3,1083.0,1185.5,1164.4,1068.2,1029.4,1134.1,1070.1,1059.0,1045.5,1025.6,908.0,837.9
LK Ploen,1057,41.0,41.0,41.0,35.6,31.7,33.2,33.2,30.2,30.2,30.2,25.5,24.7,20.1,17.8,17.8,17.8,17.8,20.1,22.4,22.4,18.6,17.8,17.8,17.8,16.2,17.0,17.8,17.8,17.8,17.8,17.8,21.6,20.9,20.1,20.1,18.6,18.6,18.6,15.5,25.5,31.7,35.6,41.7,41.7,41.7,51.0,54.9,51.0,52.6,58.8,58.8,58.8,51.0,51.8,53.3,54.9,54.1,54.1,54.1,67.3,62.6,76.5,78.9,73.4,73.4,73.4,71.9,79.6,81.9,84.3,94.3,105.1,105.1,102.8,106.7,119.1,116.0,122.9,123.7,123.7,139.9,150.0,145.3,153.8,153.8,156.9,156.9,146.1,136.8,128.3,126.8,116.7,110.6,110.6,107.5,88.1,104.4,108.2,112.1,103.6,103.6,113.6,122.9,122.9,123.7,116.7,119.1,118.3,129.1,133.0,134.5,150.0,153.8,144.6,163.1,180.9,216.5,265.9,292.2,339.4,374.2,355.6,423.6,404.3,405.9,466.2,442.2,405.9,405.9,415.9,538.8,598.4,596.0,633.2,633.2,633.2,689.6,647.8,589.9,544.2,519.5,526.5,526.5,523.4,497.9,501.7,545.0,594.5,616.9,616.9,610.7,632.4,552.0,585.2,565.9,569.8,569.8,579.0,572.9,542.7,577.5,568.2,568.2,568.2,405.1,613.8,615.4,637.0,567.4,680.3,680.3,660.2,692.7,732.9,719.7,753.0,740.6,740.6,766.1,916.1,986.4,1059.9,1190.5,1185.9,1185.9,1267.1,1421.7,1553.9,1618.8,1667.5,1972.9,1972.9,1685.3,1672.2,1644.3,1598.7,1676.0,1369.9,1369.9
